"elevation","slope","Canopy_Cover_Percentage","stat"
131.813882250331,12.0305082287099,77.472796784629,"GE03"
653.589791665969,33.9591105898146,47.7796294480933,"GE11"
334.618618049762,11.730874099225,68.9638270757769,"GE15"
527.232302172203,9.64427664848535,78.0805803352612,"GE18"
179.798925341452,7.94016952979189,81.5357067621656,"GE22"
786.876901672078,28.4939650132627,76.1984119204,"MK01"
166.48602377054,7.00919565754601,73.7672777178708,"MK03"
282.215920439274,10.6564261329891,76.6199392216449,"MK04"
506.68494109658,11.9640601489576,62.4350553867268,"MK05"
527.261637399777,6.48648495428549,23.0761690030389,"MK07"
569.5927798133,28.2407408568802,78.2080188216841,"MK08"
304.129430611127,20.0030610769562,70.0617586511126,"MK10"
325.558325607482,14.9405575949301,21.2920301931183,"MK11"
386.76745673369,19.7543428371495,68.0815606313107,"MK12"
261.742570046531,15.6563579065501,76.980198019802,"MK13"
487.28649165403,20.9851105787474,74.7377708067836,"MK14"
557.676335737357,18.1157190611606,75.1004803450642,"MK15"
254.296631059828,13.0540123234194,68.9736300362709,"MK16"
712.751693381347,34.0837173643073,60.8175669052054,"MK17"
