"","stat","zmean","zsd","zkurt","zq20","zq50","zq70","zq95","zmax","understory_density","elevation.x","slope.x","Canopy_Cover_Percentage","times_of_observation","coyotes","bobcats","cougars","black_bears","blacktailed_deer","snowshoe_hares","dist_water","dist_trail","dist_road","slope.y","elevation.y","NDVI","mammals","id","lat","long","pd_l","pd_shrubs","pd_trees","lpi_l","lpi_shrubs","lpi_trees","CI_t","CI_shrubs","CI_trees"
"1","GE03",32.9421930780544,8.06084827782458,5.92752551945379,28.1,34.04,36.86,43.94,58.61,0.535755926933541,131.813882250331,12.0305082287099,77.472796784629,66,0,0,0,0.0303030303030303,0.696969696969697,0.0151515151515152,155.2905435,485.5470575,532.217536,9.16480732,157,0.811872727272727,0.742424242424242,2,49.26,-122.53,1029.19161676647,873.253493013972,31.187624750499,98.5903193612775,0.249500998003992,98.5903193612775,0.399786514372552,0.999990121122059,0.399796575836758
"2","GE11",26.5835791689712,8.42523629286779,3.55505476673643,20.8,27.16,30.81,39.5,53.86,0.554037303597588,653.589791665969,33.9591105898146,47.7796294480933,66,0.0151515151515152,0,0,0.0606060606060606,0.287878787878788,0,217.46651,354.0056685,892.4864243,4.647678852,529,0.739118181818182,0.363636363636364,10,49.34,-122.44,7510.5958613812,498.62877088008,342.807279980055,59.0127150336575,59.0127150336575,21.0795312889554,0.75273414523936,0.784518425986077,0.968522531447866
"3","GE15",34.141220418764,9.77643767347826,3.59589097509968,27.45,34.25,38.71,50.06,64.51,0.166835633082334,334.618618049762,11.730874099225,68.9638270757769,63,0,0,0.0158730158730159,0,0,0,82.57594444,409.0947532,267.6589754,9.098919868,160,0.778761904761905,0.0158730158730159,14,49.31,-122.48,404.58110295033,342.337856342587,31.1216233038715,99.3153242873148,0.236524337109424,99.3153242873148,0.388343554432392,0.999992984843485,0.38835057919871
"4","GE18",28.2499879145404,12.368195165303,2.41615133174063,18.1,26.13,35.22,49.39,65.44,0.484445858859098,527.232302172203,9.64427664848535,78.0805803352612,63,0,0.0158730158730159,0,0,0.222222222222222,0,206.199,484.1841,1568.761,16.31562,831,0.706606349206349,0.238095238095238,17,49.32,-122.51,2394.5764398557,1492.72297549446,155.491976614007,88.6801841025003,2.86105236969772,88.6801841025003,0.51061304289996,0.999013159674447,0.51160314094888
"5","GE22",10.9911971406184,5.57068049299459,7.511981993449,5.89,10.74,13.66,19.78,56.62,0.0948031152194483,179.798925341452,7.94016952979189,81.5357067621656,63,0,0.0158730158730159,0,0,0,0.0158730158730159,72.0966,313.1603,355.7486,10.43216,89,0.781747619047619,0.0317460317460317,21,49.27,-122.52,7126.85173658658,1431.59467197809,155.608116519358,35.1549856840533,35.1549856840533,26.8019419892942,0.869694265352677,0.919620500020945,0.955452833590368
"6","MK01",14.7297817867722,6.36992777675324,2.27256163064924,8.85,14.51,18.45,25.28,35,0.644125026816778,786.876901672078,28.4939650132627,76.1984119204,8,0.5,0.25,0,0.5,0,0,164.9778,755.1261,6.275633,4.521652,261,0.84205,1.25,41,49.28,-122.55,2415.13484502885,1610.0898966859,167.717697571448,92.9961089494163,0.89896685898296,92.9961089494163,0.538216818903091,0.999920805609811,0.538356353249109
"7","MK03",23.5035983878721,7.04996606509585,3.40004737110491,18.12,23.78,27.05,34.8,48.02,0.18760157196466,166.48602377054,7.00919565754601,73.7672777178708,8,0,0,0,0.375,0.5,0,21.80363,1800.815,73.73781,5.354426,319,0.7157625,0.875,43,49.32,-122.55,343.235147279081,156.015976035946,31.2031952071892,97.0419370943585,0.0249625561657514,97.0419370943585,0.406904068228605,0.999999892167435,0.407404911283207
"8","MK04",19.6625045610252,8.8981015772404,2.33358073337717,11.77,20.07,24.79,33.81,43.26,0.719802662804918,282.215920439274,10.6564261329891,76.6199392216449,62,0,0,0.0161290322580645,0.032258064516129,0.0483870967741935,0.129032258064516,102.1676,3866.121,265.0438,3.050864,530,0.648758064516129,0.225806451612903,44,49.35,-122.56,2922.69013199246,2514.14204902577,31.4267756128221,95.8390949088624,1.06851037083595,95.8390949088624,0.441337680411206,0.999911464880863,0.441426561483268
"9","MK05",26.6498184739596,6.49669060004996,4.26165115333447,21.95,26.6,29.5,37.45,55.76,0.337590061118258,506.68494109658,11.9640601489576,62.4350553867268,9,0,0,0,0,0.111111111111111,0,53.98276,2069.389,133.7917,7.839997,540,0.809422222222222,0.111111111111111,45,49.33,-122.57,623.51914203766,436.463399426362,62.351914203766,59.2093777278962,0.0498815313630128,59.2093777278962,0.700737853201238,0.999999634827469,0.701816707394775
"10","MK07",13.5666161004129,6.97913992711913,2.3424046956394,7.08,12.56,17.51,25.7,38.81,0.447149361086916,527.261637399777,6.48648495428549,23.0761690030389,9,0.111111111111111,0,0,0.333333333333333,0.333333333333333,0,47.54981,2198.832,6.335643,28.82502,593,0.698022222222222,0.777777777777778,47,49.33,-122.53,3394.3697060289,2864.9725959143,249.128051818635,86.9706028898854,1.81863477827603,86.9706028898854,0.531013492827113,0.999489392703762,0.531524465295881
"11","MK08",19.8386035613056,8.07199788698934,2.7462117769771,13.51,20.46,24.28,32.23,43.57,0.273990994095073,569.5927798133,28.2407408568802,78.2080188216841,9,0,0,0,0,1.11111111111111,0,125.9512,482.7855,221.503,29.39104,295,0.856422222222222,1.11111111111111,48,49.29,-122.55,3216.72698029755,1842.9164991288,134.030290845731,82.9245409462539,3.40436938748157,82.9245409462539,0.63044752249225,0.999226122528588,0.632145123100189
"12","MK10",29.0736408186626,10.7448204120666,2.96021832761924,20,32.32,36.04,41.68,51.7,0.537012748544148,304.129430611127,20.0030610769562,70.0617586511126,60,0,0.0333333333333333,0,0.05,0,0.35,5.920266,396.2491,377.3693,8.29136,175,0.774625,0.433333333333333,50,49.29,-122.59,2774.12760987005,1861.58563293911,109.505037231713,66.9440794276537,0.23361074609432,66.9440794276537,0.773851428844677,0.99999138000631,0.797188961437886
"13","MK11",29.8008544444968,6.44682148061449,5.20303779491661,26.16,30.87,33.03,38.14,52.94,0.273079134387984,325.558325607482,14.9405575949301,21.2920301931183,9,0,0,0,0.111111111111111,0.555555555555556,0,33.94958,218.8469,186.3459,9.273351,286,0.851533333333333,0.666666666666667,51,49.3,-122.59,902.190144350423,62.2200099552016,93.3300149328024,87.332005973121,11.7098058735689,87.332005973121,0.518180176914752,0.991490692026067,0.526692646514018
"14","MK12",23.6820685358571,11.1823032011259,2.19198418859715,12.86,23.98,30.48,41.42,56.97,0.468579533941236,386.76745673369,19.7543428371495,68.0815606313107,8,0.125,0,0,0.25,0.25,0,232.1497,390.9657,1.646646,6.09823,278,0.8507875,0.625,52,49.28,-122.57,716.153941960394,591.605430315108,31.1371279113215,99.2028895254702,0.112093660480757,99.2028895254702,0.390339068556924,0.999996828764863,0.390342297450881
"15","MK13",31.507119937957,9.02443530094604,3.5721738193996,24.84,32.76,36.32,44.7269999999998,59.1,0.712914674779082,261.742570046531,15.6563579065501,76.980198019802,9,0,0,0,0.555555555555556,0.111111111111111,0,86.42152,2.898358,2.898358,14.28424,447,0.856233333333333,0.666666666666667,53,49.31,-122.58,707.941820054061,579.225125498777,32.1791736388209,99.6395932552452,0.0643583472776419,99.6395932552452,0.335192253184952,0.999999434188564,0.335192852279415
"16","MK14",24.5970509607694,11.2280747948075,2.61858999795784,15.64,26.51,31.14,40.5,57.71,0.559017749142166,487.28649165403,20.9851105787474,74.7377708067836,42,0,0,0,0.0714285714285714,0.5,0.0238095238095238,264.8022,1015.174,335.1535,5.958701,604,0.703047619047619,0.595238095238095,54,49.31,-122.56,1867.52988047809,1462.8984063745,31.1254980079681,96.7753984063745,0.249003984063745,96.7753984063745,0.419335160932159,0.999987411157487,0.419380202080905
"17","MK15",18.3014636049181,7.83745929388393,2.35173656962903,11.02,18.24,22.64,31.41,45.37,0.258779544752511,557.676335737357,18.1157190611606,75.1004803450642,9,0.666666666666667,0,0,0,0.111111111111111,0.444444444444444,37.71932,860.8772,136.8776,6.630645,305,0.857111111111111,1.22222222222222,55,49.28,-122.56,2860.34075363761,2487.25282925009,62.1813207312523,93.5704514363885,1.15657256560129,93.5704514363885,0.455779427565342,0.99979630099638,0.45598348213169
"18","MK16",19.5812984620419,9.02021573915252,1.97458232676388,10.45,20.14,25.81,33.22,43.68,0.265177432953128,254.296631059828,13.0540123234194,68.9736300362709,58,0.0172413793103448,0,0,0,0.172413793103448,0.0172413793103448,429.9753,2402.794,333.7957,30.00321,549,0.762662068965517,0.206896551724138,56,49.34,-122.53,1679.10447761194,1399.25373134328,93.2835820895522,97.1268656716418,0.572139303482587,97.1268656716418,0.41395234485018,0.999963117574379,0.413989284934622
"19","MK17",26.5091448337858,5.01447957168494,5.91880084195228,23.16,26.43,28.48,34.95,48.26,0.374709690171468,712.751693381347,34.0837173643073,60.8175669052054,58,0,0,0.0172413793103448,0.0517241379310345,1.01724137931034,0,221.4602,2000.791,323.7197,30.89653,476,0.732484482758621,1.08620689655172,57,49.36,-122.53,2116.79741003611,498.069978832026,62.2587473540032,78.7822189017557,13.8214419125887,78.7822189017557,0.602514226328995,0.988133497582813,0.615293688902852
